"Cold As Ice" 	25 	70121
"Juke Box Hero" 	19 	40616
"Feels Like The First" 	18.5 	27203
"Double Vision" 	18 	19913
"Head Games" 	18 	10528
"Urgent" 	17.5 	34089
"Hot Blooded" 	16 	35290
"Dirty White Boy" 	0.5 	9319
