
128 1
115 2
127 3
93 4
56 5
19 6
2 7
3 8
5 9
8 10
7 11
7 12
10 13
5 14
12 15
7 16
13 17
5 18
4 19
12 20
7 21
4 22
3 23
1 24
0 25
0 26
0 27
0 28
0 29
0 30
0 31
0 32
0 33
0 34
0 35
0 36
0 37
0 38
0 39
1 40
2 41
3 42
2 43
1 44
2 45
1 46
2 47
2 48
2 49
2 50
3 51
5 52
1 53
3 54
6 55
2 56
7 57
11 58
1 59
8 60
8 61
11 62
11 63
10 64
12 65
14 66
16 67
15 68
14 69
13 70
8 71
18 72
15 73
13 74
9 75
8 76
6 77
6 78
5 79
1 80
0 81
1 82
2 83
4 84
0 85
3 86
4 87
1 88
2 89
0 90
6 91
2 92
2 93
6 94
4 95
5 96
3 97
4 98
5 99
3 100
3 101
4 102
1 103
0 104
0 105
2 106
1 107
0 108
0 109
0 110
0 111
0 112
0 113
0 114
0 115
0 116
0 117
0 118
0 119
