"Sweet Home Alabama" 	24.5 	230495
"What's Your Name" 	24.5 	17064
"Gimme Three Steps" 	17 	39673
"Call Me The Breeze" 	16.5 	26385
"Free Bird" 	15 	162663
"I Know A Little" 	1.5 	9178
"That Smell" 	1 	27778
"You Got That Right" 	1 	12320
"Saturday Night Speci" 	1 	27109
"Don't Ask Me No Ques" 	1 	11737
"Simple Man" 	0.5 	143307
