"Touch Me" 	19 	131825
"Roadhouse Blues" 	16 	134889
"People Are Strange" 	7.5 	236327
"L.A. Woman" 	5.5 	112499
"Love Her Madly" 	5 	119643
"Riders On The Storm" 	5 	195555
"Light My Fire" 	3 	250361
"Break On Through" 	2 	112571
"Love Me Two Times" 	0.5 	154959
