"Tush" 	20 	72833
"Sharp Dressed Man" 	18.5 	103327
"La Grange" 	18.5 	134564
"Legs" 	5 	36678
"Cheap Sunglasses" 	2.5 	20852
"Gimme All Your Lovin" 	2 	58100
"Got Me Under Pressur" 	0.5 	23736
